OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
5072827,E,7,0,,A,D,71.96,,5Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,71.9606366762,50.7612402482548,2.7233677876006377
5072832,E,7,0,,A,D,42.42,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,42.4057918483,50.766444667085715,2.724158679217347
5072988,E,0,0,,N,D,62.03,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-08,WZQS5758NP,,0,0,,62.0306895037,50.76155812793912,2.7236234110352857
5518353,E,7,0,,A,D,58.72,P/59535,PEHD:1Ø40,321,0,1,0,,0,0,B,0,0,1,1,0,0,,2021-04-02,WZQS5758NP,,0,0,,58.7062293955,50.763733896272804,2.7092082382986526
6620458,E,7,0,,,T,148.0,,PEHD:1Ø40,321,0,1,0,,0,0,B,0,0,0,0,0,0,,2016-01-07,jzcq3346,,0,0,,108.589446459,50.77840671355601,2.7366597400568295
6884619,E,0,0,,,D,107.62,PAR59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2017-01-06,QSNK0093NP,,0,0,,107.623260396,50.779631540916455,2.7081205062345357
6884620,E,0,0,,,D,36.08,PAR59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2017-01-06,QSNK0093NP,,0,0,,36.0849951726,50.78025449634702,2.7139271126477373
6884698,E,0,0,,,D,39.55,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,39.5465328202,50.756737023541895,2.7081261676297674
7036869,E,7,0,,,D,0.98,,PEHD:2Ø40,321,0,1,0,,0,0,C,0,0,0,0,0,0,,2017-10-09,nlzh9590,BER700721,0,0,,0.981661689347,50.764466866588876,2.722154204045361
7616283,E,7,0,,,D,8.69,P/59535,PEHD:1Ø60,321,0,1,0,,0,0,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,8.68797446956,50.7587857333757,2.708570730041057
7761844,E,7,0,,,D,2.32,,1Ø45,1,0,1,0,,0,1,A,10,10,0,0,0,0,,2021-03-08,JFHC8005NP,,0,0,,2.31800420939,50.76628676370165,2.7083828593179566
