OBJECTID,STATUT,IMPLANT,NATURE_CHA,REF_CHAMBR,REF_NOTE,CODE_COM,CODE_VOIE,NUM_VOIE,ID_PROPRIE,ACC_DEPORT,VENTIL,PLAFON,ID_GESTION,TYPE_TRAPP,QUANTIFICA,INDEX_DOC_,ID_NOEUD,ROTATION,CODE_CH1,CODE_CH2,NOTE,SECURISEE,ATTENTE,CLE_MKT1,CLE_MKT2,CODE_CH1_C,CODE_CH2_P,ORANGE,CLASSE,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,COMPOSITE,DATE_SECU,FABRICANT,METRIC,FAR_NETWRK,RECALAGE_D,geometry,latitude,longitude
2417610,E,T,R,A3,,62588,1053,,1,0,0,0,0,T,,0,9555565,81.2,347,62588,ENV-62588-D,0,,62588|1053|,347|62588,358,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.760238355729376 50.46277378551864),50.46277378551864,1.760238355729376
2418601,E,T,R,L3T,,62588,0140,,1,0,0,0,0,T,,0,9558491,328.8,362,62588,ENV-62588-D,0,,62588|0140|,362|62588,619,62588,1,B,0,0,0,0,,2015-05-11,pwnext475,,0,,,0,0,,POINT (1.7602367756552744 50.466893898607935),50.466893898607935,1.7602367756552744
2418602,E,T,R,A3,,62588,0140,,1,0,0,0,0,T,,0,9558485,273.8,363,62588,ENV-62588-D,0,,62588|0140|,363|62588,135,62588,1,B,0,0,0,0,,2015-05-11,pwnext475,,0,,,0,0,,POINT (1.760710579308578 50.465176102229734),50.465176102229734,1.760710579308578
2420815,E,T,R,L2T,,62289,0400,,1,0,0,0,0,T,,0,9564091,60.0,253,62289,ENV-62289-D,0,,62289|0400|,253|62289,552,62289,1,B,0,0,0,0,,2015-05-18,pwnext475,,0,,,0,0,,POINT (1.7616943593684609 50.458662404983656),50.458662404983656,1.7616943593684609
2486899,E,T,R,L0T,,62588,0140,8,321,0,0,0,0,T,,0,9701121,5.3,380,62588,,0,,62588|0140|8,380|62588,,,0,B,0,0,0,0,,2015-10-28,itma6414,,0,,,0,0,,POINT (1.7607754078495907 50.46497398170256),50.46497398170256,1.7607754078495907
2957683,E,T,R,L2T,,62588,,,321,0,0,0,0,T,,0,10784339,288.6,413,62588,,0,,,,,,0,C,0,0,0,0,,2021-06-18,LDVX8772,,0,,,0,0,,POINT (1.7603895950322026 50.46571933327936),50.46571933327936,1.7603895950322026
2982892,E,T,R,REG,,62588,,,321,0,0,0,0,T,,0,10831127,326.1,424,62588,,0,,,,,,0,C,0,0,0,0,,2021-10-04,LDVX8772,,0,,,0,0,,POINT (1.7677315177396318 50.46843312265545),50.46843312265545,1.7677315177396318
1064420,E,T,R,L0T,,62289,0400,,1,0,0,0,0,,,0,4686027,67.1,82,62289,02A9025A67139BAE1C259BC04D1B41C6,0,,62289|0400|,|,,62289,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7602347992588683 50.45818030486481),50.45818030486481,1.7602347992588683
1064433,E,T,R,L3T,,62588,,,1,0,0,0,0,,,0,4630904,79.4,9,62588,02A9025A3E019E081C259BC22C1B5FC5,0,,62588||,9|62588,525,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7581034136538518 50.45897072071106),50.45897072071106,1.7581034136538518
1064456,E,C,R,K3C,,62588,,,1,0,0,0,0,,,0,4641405,265.4,25,62588,ENV-62535-D,0,,62588||,25|62588,260,62588,1,B,0,0,0,0,,2015-05-28,pwnext918,,0,,,0,0,,POINT (1.756568912496125 50.45999929675175),50.45999929675175,1.756568912496125
1064510,E,T,R,L3T,,62588,0140,,1,0,0,0,0,,,0,4711280,2.2,78,62588,02A90270C9C0E6E71C259BD2B01CCB0A,0,,62588|0140|,0620|,0620,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7595011499248134 50.466964115656936),50.466964115656936,1.7595011499248134
1064978,E,T,R,C2,,62588,1360,,1,0,0,1,0,,,0,4664872,34.7,85,62588,ENV-62588-D,0,,62588|1360|,85|62588,7,62588,1,B,0,0,0,0,,2015-05-12,pwnext475,,0,,,0,0,,POINT (1.7646707177191765 50.46500759582433),50.46500759582433,1.7646707177191765
1065000,E,T,R,A4,,62588,,,1,0,0,0,0,,,0,4626318,81.4,107,62588,02A902710707C97D1C259C3A5822E358,0,,62588||,107|62588,125,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7634504412745975 50.463094315400554),50.463094315400554,1.7634504412745975
1065033,E,T,R,L2T,,62588,0940,,1,0,0,0,0,,,0,4684119,56.3,140,62588,ENV-62588-D,0,,62588|0940|,140|62588,559,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7685426749151627 50.46840864994786),50.46840864994786,1.7685426749151627
1065075,E,T,R,L5T,,62588,,,1,0,0,0,0,,,0,4608391,5.6,182,62588,02A90271C6B6B0DA1C259C4D0B24485A,0,,62588||,182|62588,342,,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7664039935611289 50.46668072262947),50.46668072262947,1.7664039935611289
