image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1451,45.69658781618757,4.809412985781352,45.69652450801911,4.809511356575674,10.39,312.66,-13.53,35,2024-07,HgxOrHECb2Esh0eE5d5Cvg
1453,45.699865630281,4.805641470233385,45.69992538792534,4.80561142113507,7.04,160.65,-19.54,45,2024-07,UCWi8Q1brQ-G-FA9EnJBgg
1455,45.70283522975152,4.805248015906239,45.70278973044237,4.805327381456358,7.97,309.38,-17.41,45,2024-08,jgdGGzj8zoubyDogPKZz6A
1457,45.701971926597245,4.804189552888159,45.70205210871104,4.804217901157094,9.18,193.87,-15.23,45,2024-08,Lizu14NJKS1fM7pC8ql2_Q
1460,45.7003350877932,4.805344188316076,45.70025698206091,4.805259860348731,10.88,37.02,-12.94,35,2020-10,27AbbJaMLBnTqbTZhvPCrQ
1463,45.70131718693395,4.803660457332033,45.7012736237677,4.803541938392125,10.4,62.24,-13.52,35,2024-08,Bzx1hNhdYLjg03eV8Ar75g
1464,45.6991999323011,4.804847331185934,45.69923016140861,4.804684512310851,13.08,104.89,-10.82,35,2024-07,0EXVXbRN1pvMvTefyD7ZSQ
1465,45.69929166488754,4.7951962020626295,45.69929072542563,4.795115795558649,6.25,89.04,-21.82,55,2024-06,mQ8tnOjMg2N3vFjuwP-Qpw
1466,45.69991529570626,4.804814046519853,45.69988565408129,4.80471383176899,8.45,67.05,-16.48,45,2024-08,bx3_O2BYvoNz5LxevoQeYg
1467,45.69892261391214,4.807119382336055,45.69898396134433,4.807118872953483,6.82,179.67,-20.13,55,2024-07,_l0lyh63ZQpgw6BazcqdYg
1468,45.69949207392463,4.800009305135975,45.69949111006285,4.799880452593306,10.01,89.39,-14.03,35,2024-06,Eq-tOVO_sbddU_OBy7CpUw
1469,45.699066768543496,4.802217095458317,45.69912725172388,4.802245774870419,7.08,198.32,-19.44,45,2024-07,v5UomEFoQwNuQeuq7kAk9w
1471,45.70315271248367,4.800646574708931,45.70319493433948,4.800576100384849,7.21,130.63,-19.12,45,2015-05,u6oRXyh8ilwN3dCEpDS6Iw
1472,45.69891417517347,4.806169629738951,45.69900944711806,4.806176731186854,10.61,182.98,-13.26,35,2024-06,Gg2mB6TWzh16LY7ldH2Bsg
1474,45.70463550042924,4.798837157773665,45.70455681747279,4.798726272337927,12.28,44.54,-11.51,35,2015-05,X5ihttCDVEsN3z4x63XNGw
1477,45.70095377341305,4.80492478257318,45.70089715402612,4.804830695627227,9.64,49.25,-14.53,45,2020-10,gQY2dKAhaUAE9duAmTtkkA
1479,45.69922703724109,4.802200203032436,45.69912725172388,4.802245774870419,11.65,342.31,-12.12,35,2024-07,v5UomEFoQwNuQeuq7kAk9w
1482,45.70409220319565,4.796877430325989,45.70405622786809,4.796956450470317,7.33,303.1,-18.84,45,2024-08,CgZYuboH0PoI4iUaZGxzOA
1483,45.70252217830306,4.805107448336996,45.70248996000856,4.805186495731039,7.11,300.27,-19.38,45,2024-07,-8hW3aE800Z6DoSEMhflBw
1484,45.69916665696319,4.803666783745349,45.69907177572183,4.803682107599811,10.62,353.56,-13.25,35,2024-07,MvUxBNZvkEYWfFsKBdzngQ
